MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,W_F1,W_ASR,W_FRR,T_BLOCK,T_TRANSFORM,trial,val_f1,val_asr,val_frr,score,regex_f1,regex_asr,regex_frr,regex_score
380,4,3e-05,0.01,0.05,0.1,1.0,3,2,0.3,0.5,0.2,0.8,0.3,84,0.8932,0.0738,0.09,0.91306,0.8915,0.082,0.07,0.91245
380,4,3e-05,0.01,0.05,0.1,1.0,3,3,0.3,0.5,0.2,0.4,0.2,85,0.9026,0.0574,0.08,0.92608,0.8971,0.0574,0.08,0.92443
512,4,1e-05,0.1,0.05,0.2,1.0,5,2,0.3,0.5,0.2,0.8,0.3,86,0.8686,0.0902,0.13,0.88948,0.8634,0.1311,0.1,0.87347
512,4,1e-05,0.01,0.1,0.2,1.0,3,3,0.3,0.5,0.2,0.6,0.4,87,0.8631,0.1066,0.11,0.88363,0.8481,0.123,0.11,0.87093
380,4,1e-05,0.05,0.1,0.2,1.0,5,3,0.3,0.5,0.2,0.7,0.3,88,0.8719,0.082,0.12,0.89657,0.8705,0.0984,0.1,0.89195
380,8,2e-05,0.05,0.1,0.2,0.5,5,3,0.3,0.5,0.2,0.5,0.4,89,0.8705,0.0984,0.1,0.89195,0.865,0.0984,0.1,0.8903
512,4,1e-05,0.01,0.05,0.2,0.5,5,2,0.3,0.5,0.2,0.7,0.3,90,0.8691,0.0984,0.09,0.89353,0.8743,0.1393,0.06,0.88064
512,4,1e-05,0.05,0.1,0.2,0.5,3,2,0.3,0.5,0.2,0.6,0.4,91,0.8806,0.082,0.1,0.90318,0.8751,0.082,0.1,0.90153
444,4,2e-05,0.1,0.05,0.2,0.5,5,2,0.3,0.5,0.2,0.6,0.3,92,0.9057,0.0656,0.06,0.92691,0.9041,0.0656,0.05,0.92843
256,4,1e-05,0.1,0.1,0.1,0.5,3,2,0.3,0.5,0.2,0.7,0.3,93,0.8435,0.0902,0.16,0.87595,0.8306,0.123,0.16,0.85568
380,8,2e-05,0.1,0.1,0.3,0.5,3,2,0.3,0.5,0.2,0.6,0.3,94,0.8807,0.0656,0.12,0.90741,0.8709,0.0738,0.12,0.90037
512,4,3e-05,0.05,0.1,0.2,0.5,3,3,0.3,0.5,0.2,0.8,0.3,95,0.8953,0.0246,0.14,0.92829,0.8812,0.0492,0.13,0.91376
444,4,1e-05,0.05,0.05,0.1,0.5,5,2,0.3,0.5,0.2,0.6,0.2,96,0.8901,0.082,0.09,0.90803,0.8885,0.082,0.08,0.90955
256,8,3e-05,0.05,0.05,0.1,1.0,3,3,0.3,0.5,0.2,0.7,0.2,97,0.866,0.1393,0.05,0.88015,0.8561,0.1475,0.05,0.87308
512,4,2e-05,0.1,0.1,0.3,1.0,5,3,0.3,0.5,0.2,0.6,0.2,98,0.9013,0.0738,0.06,0.92149,0.8909,0.082,0.06,0.91427
512,4,2e-05,0.01,0.1,0.1,0.5,5,3,0.3,0.5,0.2,0.6,0.2,99,0.889,0.0984,0.07,0.9035,0.8834,0.0984,0.07,0.90182
444,4,1e-05,0.1,0.05,0.3,0.5,5,3,0.3,0.5,0.2,0.5,0.3,100,0.8836,0.0902,0.08,0.90398,0.878,0.0902,0.08,0.9023
